,regimen,day,mean,cilower,ciupper
90,SA,2.875,0.696126356496,0.670236383277,0.722041733607
91,SA,3.0,0.698750621194,0.671892436637,0.725488208494
92,SA,3.125,0.701346631592,0.672967099766,0.729555850385
93,SA,3.25,0.703914035302,0.674612468915,0.733592999375
94,SA,3.375,0.706452513509,0.676030137002,0.737109822982
95,SA,3.5,0.708961780487,0.676485166971,0.741480283205
96,SA,3.625,0.711441583033,0.677595215144,0.745786198222
97,SA,3.75,0.713891699821,0.678040396754,0.749995367917
98,SA,3.875,0.716311940684,0.678148988876,0.754054629115
99,SA,4.0,0.718702145838,0.678886108062,0.75833497811
