"","sid","condition","block_index","date","time","trialnum","stimulus_label","response_label","stimulus","trialdur","regimen","day","correct"
"105","1611","label",4,"2013-07-19","15:57:42.007",15,2,1,39,4.820844,"AP",4,FALSE
"106","1611","label",4,"2013-07-19","15:57:46.851",16,2,2,34,2.665724,"AP",4,TRUE
"107","1611","label",4,"2013-07-19","15:57:49.554",17,4,1,70,2.516841,"AP",4,FALSE
"108","1611","label",4,"2013-07-19","15:57:52.101",18,1,2,2,2.516923,"AP",4,FALSE
"109","1611","label",4,"2013-07-19","15:57:54.663",19,3,1,50,3.361737,"AP",4,FALSE
"110","1611","label",4,"2013-07-19","15:57:58.054",20,1,2,8,4.528921,"AP",4,FALSE
"111","1611","label",4,"2013-07-19","15:58:2.616",21,2,2,33,2.667204,"AP",4,TRUE
"112","1611","label",4,"2013-07-19","15:58:5.319",22,1,1,18,2.950099,"AP",4,TRUE
"113","1611","label",4,"2013-07-19","15:58:8.304",23,4,3,62,2.784018,"AP",4,FALSE
"114","1611","label",4,"2013-07-19","15:58:11.116",24,4,4,68,2.465789,"AP",4,TRUE
"115","1611","label",4,"2013-07-19","15:58:13.616",25,3,3,42,3.483419,"AP",4,TRUE
"116","1611","label",4,"2013-07-19","15:58:17.132",26,4,4,64,2.916332,"AP",4,TRUE
"117","1611","label",4,"2013-07-19","15:58:20.085",27,2,4,32,2.685559,"AP",4,FALSE
"118","1611","label",4,"2013-07-19","15:58:22.804",28,1,2,15,2.850434,"AP",4,FALSE
"119","1611","label",4,"2013-07-19","15:58:25.679",29,1,3,6,3.134318,"AP",4,FALSE
"120","1611","label",4,"2013-07-19","15:58:28.851",30,3,3,44,2.848997,"AP",4,TRUE
"121","1612","label",1,"2013-07-20","10:23:51.638",1,2,2,26,4.523378,"AP",4,TRUE
"122","1612","label",1,"2013-07-20","10:23:56.214",2,3,3,52,2.588625,"AP",4,TRUE
"123","1612","label",1,"2013-07-20","10:23:58.837",3,4,4,71,2.328114,"AP",4,TRUE
"124","1612","label",1,"2013-07-20","10:24:1.195",4,1,1,4,2.380446,"AP",4,TRUE
"125","1612","label",1,"2013-07-20","10:24:3.616",5,2,2,35,2.300968,"AP",4,TRUE
"126","1612","label",1,"2013-07-20","10:24:5.943",6,2,2,24,2.55336,"AP",4,TRUE
"127","1612","label",1,"2013-07-20","10:24:8.519",7,1,3,20,3.020644,"AP",4,FALSE
"128","1612","label",1,"2013-07-20","10:24:11.565",8,1,1,16,2.354156,"AP",4,TRUE
"129","1612","label",1,"2013-07-20","10:24:13.954",9,4,1,63,2.602399,"AP",4,FALSE
"130","1612","label",1,"2013-07-20","10:24:16.593",10,1,3,14,3.403788,"AP",4,FALSE
"131","1612","label",1,"2013-07-20","10:24:20.013",11,4,3,64,2.887837,"AP",4,FALSE
"132","1612","label",1,"2013-07-20","10:24:22.933",12,3,3,53,3.253789,"AP",4,TRUE
