"","sid","condition","block_index","date","time","trialnum","signal_interval","response_interval","signal","standard","trialdur","regimen","day","correct","foil_label","pretest"
"123","1611","4th",3,"2013-07-16","15:57:18.755",3,2,2,23,57,3.844308,"AP",1,TRUE,"6th",0.691666666666667
"124","1611","4th",3,"2013-07-16","15:57:22.646",4,1,1,39,3,4.257516,"AP",1,TRUE,"3rd",0.691666666666667
"125","1611","4th",3,"2013-07-16","15:57:26.927",5,2,2,32,44,3.784322,"AP",1,TRUE,"5th",0.691666666666667
"126","1611","4th",3,"2013-07-16","15:57:30.739",6,1,1,31,9,4.048733,"AP",1,TRUE,"3rd",0.691666666666667
"127","1611","4th",3,"2013-07-16","15:57:34.833",7,2,1,35,70,4.001536,"AP",1,FALSE,"6th",0.691666666666667
"128","1611","4th",3,"2013-07-16","15:57:38.864",8,1,2,28,19,4.383624,"AP",1,FALSE,"3rd",0.691666666666667
"129","1611","4th",3,"2013-07-16","15:57:43.270",9,1,2,31,20,4.868108,"AP",1,FALSE,"3rd",0.691666666666667
"130","1611","4th",3,"2013-07-16","15:57:48.176",10,1,1,25,70,3.950539,"AP",1,TRUE,"6th",0.691666666666667
"131","1611","4th",3,"2013-07-16","15:57:52.160",11,1,1,27,50,3.917653,"AP",1,TRUE,"5th",0.691666666666667
"132","1611","4th",3,"2013-07-16","15:57:56.113",12,2,2,33,53,3.951009,"AP",1,TRUE,"5th",0.691666666666667
"133","1611","4th",3,"2013-07-16","15:58:0.097",13,1,2,32,68,3.984272,"AP",1,FALSE,"6th",0.691666666666667
"134","1611","4th",3,"2013-07-16","15:58:4.112",14,2,2,31,3,4.097592,"AP",1,TRUE,"3rd",0.691666666666667
"135","1611","4th",3,"2013-07-16","15:58:8.237",15,1,1,37,55,4.050787,"AP",1,TRUE,"5th",0.691666666666667
"136","1611","4th",3,"2013-07-16","15:58:12.331",16,2,2,25,50,3.784657,"AP",1,TRUE,"5th",0.691666666666667
"137","1611","4th",3,"2013-07-16","15:58:16.143",17,1,2,31,56,4.1013,"AP",1,FALSE,"5th",0.691666666666667
"138","1611","4th",3,"2013-07-16","15:58:20.268",18,1,1,23,44,3.884393,"AP",1,TRUE,"5th",0.691666666666667
"139","1611","4th",3,"2013-07-16","15:58:24.190",19,2,1,29,45,4.035033,"AP",1,FALSE,"5th",0.691666666666667
"140","1611","4th",3,"2013-07-16","15:58:28.252",20,1,1,22,9,4.483955,"AP",1,TRUE,"3rd",0.691666666666667
"141","1611","4th",3,"2013-07-16","15:58:32.783",21,2,2,27,41,4.847077,"AP",1,TRUE,"5th",0.691666666666667
"142","1611","4th",3,"2013-07-16","15:58:37.658",22,1,1,26,4,4.134108,"AP",1,TRUE,"3rd",0.691666666666667
"143","1611","4th",3,"2013-07-16","15:58:41.829",23,2,1,27,65,4.751845,"AP",1,FALSE,"6th",0.691666666666667
"144","1611","4th",3,"2013-07-16","15:58:46.610",24,1,2,21,70,4.200492,"AP",1,FALSE,"6th",0.691666666666667
