,a,b,x,y,ymax,ymin
47,5th,6th,0.9755102040816327,0.9896391373927836,1.0,0.929
48,5th,6th,0.9877551020408163,0.9952235502996317,1.0,0.95
49,5th,6th,1.0,1.0,1.0,1.0
0,6th,3rd,0.4,0.49302298042748366,0.62,0.378
1,6th,3rd,0.4122448979591837,0.4979545006313158,0.621,0.383
2,6th,3rd,0.4244897959183674,0.5034155791339568,0.621,0.387
3,6th,3rd,0.43673469387755104,0.5084934374410561,0.625,0.394
4,6th,3rd,0.4489795918367347,0.5134963832250721,0.629,0.401
5,6th,3rd,0.4612244897959184,0.5189460761897622,0.632,0.407
6,6th,3rd,0.47346938775510206,0.5244772138322946,0.631,0.41
7,6th,3rd,0.48571428571428577,0.5293502212692038,0.634,0.415
8,6th,3rd,0.4979591836734694,0.5346052644268658,0.637,0.42
9,6th,3rd,0.5102040816326531,0.5396926670649644,0.64,0.426
10,6th,3rd,0.5224489795918368,0.5447494779134832,0.651,0.439
11,6th,3rd,0.5346938775510204,0.5497505523740676,0.646,0.436
12,6th,3rd,0.5469387755102041,0.5550420758118887,0.649,0.442
13,6th,3rd,0.5591836734693878,0.5600859852609075,0.656,0.451
14,6th,3rd,0.5714285714285714,0.5651567994812134,0.657,0.456
15,6th,3rd,0.5836734693877551,0.5700969852106663,0.661,0.462
16,6th,3rd,0.5959183673469388,0.5754484892735259,0.663,0.467
17,6th,3rd,0.6081632653061224,0.5803566597224796,0.67,0.475
18,6th,3rd,0.6204081632653061,0.5851467391426497,0.674,0.482
19,6th,3rd,0.6326530612244898,0.5905191203306533,0.679,0.488
20,6th,3rd,0.6448979591836734,0.595763081983874,0.689,0.499
21,6th,3rd,0.6571428571428571,0.6011828793203617,0.692,0.504
22,6th,3rd,0.6693877551020408,0.6063814621714361,0.694,0.508
23,6th,3rd,0.6816326530612244,0.6120945007435334,0.695,0.509
24,6th,3rd,0.6938775510204082,0.6176620268452275,0.701,0.516
25,6th,3rd,0.7061224489795919,0.6233075762077354,0.704,0.521
26,6th,3rd,0.7183673469387755,0.6287593513044649,0.71,0.528
27,6th,3rd,0.7306122448979592,0.6349044380240303,0.72,0.538
28,6th,3rd,0.7428571428571429,0.6409683728051153,0.731,0.55
29,6th,3rd,0.7551020408163265,0.6472439686679021,0.737,0.556
30,6th,3rd,0.7673469387755102,0.6537092718185151,0.737,0.556
31,6th,3rd,0.7795918367346939,0.6600787831073709,0.743,0.562
32,6th,3rd,0.7918367346938775,0.6665242130045501,0.754,0.573
33,6th,3rd,0.8040816326530612,0.6737547342780863,0.762,0.581
34,6th,3rd,0.8163265306122449,0.6809589625787182,0.773,0.591
35,6th,3rd,0.8285714285714285,0.6884748206151132,0.781,0.6
36,6th,3rd,0.8408163265306122,0.6960242851152323,0.785,0.603
37,6th,3rd,0.8530612244897959,0.7044585977094271,0.795,0.612
38,6th,3rd,0.8653061224489795,0.7133242063319636,0.807,0.622
39,6th,3rd,0.8775510204081632,0.7227387927643776,0.813,0.627
40,6th,3rd,0.889795918367347,0.7327651997333223,0.82,0.633
41,6th,3rd,0.9020408163265307,0.7431590542936538,0.836,0.647
42,6th,3rd,0.9142857142857143,0.7543546765682976,0.845,0.653
43,6th,3rd,0.926530612244898,0.7672611436270436,0.862,0.667
44,6th,3rd,0.9387755102040817,0.7812117891661985,0.884,0.686
45,6th,3rd,0.9510204081632653,0.7978335839898154,0.902,0.705
46,6th,3rd,0.963265306122449,0.8169143636936926,0.917,0.719
47,6th,3rd,0.9755102040816327,0.8417810514734424,0.935,0.74
48,6th,3rd,0.9877551020408163,0.8768272638794821,0.96,0.772
49,6th,3rd,1.0,1.0,1.0,1.0
